,Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
29,dcf093ca-d26b-4853-9679-aa0c7ebe05a7,5129cffc-68a1-4dd9-8bfe-035f3478d6dd,Fully Paid,107404.0,Short Term,,,,Home Mortgage,other,19238.07,43.7,,5.0,0.0,28956.0,58014.0,0.0,0.0
30,b762002d-4f8b-4eb0-a1c7-b1a9874fd997,f4226232-1c33-4d69-ada0-c88245fe345f,Fully Paid,99999999.0,Short Term,737.0,1501912.0,6 years,Rent,Business Loan,31039.54,18.0,,8.0,0.0,229349.0,469172.0,0.0,0.0
31,99826faa-9c45-438e-9ee5-0d7523cffc12,247c59e9-cf6b-40a7-ae35-d102b69991cc,Fully Paid,334620.0,Short Term,729.0,1348620.0,2 years,Rent,Debt Consolidation,16913.99,20.0,,16.0,0.0,313177.0,539616.0,0.0,0.0
32,feee8a68-5ddc-41a6-9d10-d5e3f2e4f7c6,1c9b6b3e-060d-4a70-8b08-522a7f589e89,Charged Off,130174.0,Short Term,733.0,524609.0,< 1 year,Rent,Debt Consolidation,9311.71,15.4,,7.0,1.0,130701.0,268818.0,1.0,0.0
33,af76ed30-e663-4125-8749-3ff5e509cb37,61a4f1ed-e2c3-401e-aec8-9b0d7178f5ff,Fully Paid,333564.0,Long Term,725.0,1248338.0,10+ years,Home Mortgage,Debt Consolidation,18205.04,14.6,,18.0,0.0,300979.0,515526.0,0.0,0.0
34,83ad0662-ef2d-4732-99ff-e9cdab4eb276,2d53b50a-30a2-488e-a287-3780b26e62ba,Fully Paid,109318.0,Long Term,,,10+ years,Home Mortgage,Buy a Car,15524.9,22.7,,9.0,0.0,77121.0,920524.0,0.0,0.0
35,677c8cd8-efef-402a-8464-268f1d86fc5a,b91032a8-107c-4c0f-9ef8-c517e696f497,Fully Paid,125796.0,Short Term,745.0,1261068.0,5 years,Home Mortgage,Debt Consolidation,20597.33,24.5,,13.0,0.0,684817.0,997414.0,0.0,0.0
36,01258b9b-bcac-4935-8fd5-cff308b65943,86b8d158-c6f7-4ff0-8aaf-4eb96a3e6adc,Fully Paid,99999999.0,Short Term,743.0,752039.0,4 years,Home Mortgage,Debt Consolidation,17046.23,14.1,,10.0,0.0,213484.0,478126.0,0.0,0.0
37,d6946f18-5e64-41e6-ba92-ebff21fc5cee,d1d8497b-90bf-48ea-a8b1-40c909ab1f97,Fully Paid,161172.0,Short Term,720.0,796499.0,8 years,Home Mortgage,Debt Consolidation,3404.99,22.6,,6.0,1.0,114095.0,170038.0,0.0,0.0
38,03e3a77a-fa93-489c-b7b3-c06196ba3bce,dedbd71d-dabd-4c64-a38f-bb5886e7f8b6,Charged Off,259842.0,Short Term,,,8 years,Home Mortgage,Debt Consolidation,11792.73,20.6,34.0,9.0,0.0,401584.0,708818.0,0.0,0.0
39,f7db4043-3607-46fe-a421-edf3281eed7c,f7581a72-d073-48a3-934f-14bdfae93691,Fully Paid,449108.0,Short Term,718.0,1454507.0,8 years,Home Mortgage,Debt Consolidation,13090.43,28.8,21.0,14.0,0.0,193990.0,458414.0,0.0,0.0
40,21d019a9-dc53-40e9-9c88-1ec3378283fe,64560eb4-f50d-4f14-8a86-b46c0381bef2,Charged Off,688468.0,Long Term,682.0,1494616.0,< 1 year,Rent,Debt Consolidation,14697.07,16.6,50.0,8.0,0.0,343995.0,843854.0,0.0,0.0
41,38025238-198c-425e-b6c2-1e3f38b4e46d,33ca84d6-61ab-4e1c-9312-77228201e7dd,Fully Paid,210166.0,Short Term,,,2 years,Rent,Debt Consolidation,13084.54,14.0,20.0,10.0,0.0,314336.0,483362.0,0.0,0.0
42,dc17c812-a350-459f-84dd-906fd42a5ab2,847e2dfa-a44c-4ec1-b05f-5d4a33e66885,Fully Paid,327008.0,Long Term,,,4 years,Home Mortgage,Debt Consolidation,15419.45,16.7,24.0,13.0,0.0,268090.0,529738.0,0.0,0.0
43,0c84b81a-e5a9-4a92-8dc8-fb179add03a4,628b0914-b1d7-4028-b590-b50f5da53d06,Charged Off,288948.0,Short Term,7120.0,537472.0,10+ years,Rent,Debt Consolidation,5777.9,14.8,,4.0,0.0,132468.0,164406.0,0.0,0.0
44,93d2f093-833c-42a3-8879-05ab3bd73951,c5a714bb-75c6-4264-a807-8a35bb12ce7d,Fully Paid,311762.0,Long Term,680.0,2211657.0,4 years,Home Mortgage,Debt Consolidation,44601.74,14.5,15.0,11.0,0.0,213921.0,509652.0,0.0,0.0
45,f1586bd6-bda7-442c-af83-aabc8d079bba,64a23638-0025-41de-b41d-85c01eee6f1a,Fully Paid,266112.0,Short Term,750.0,919296.0,1 year,Rent,Debt Consolidation,12946.79,21.6,,9.0,0.0,266266.0,485518.0,0.0,0.0
46,2e30d6ea-3157-4537-99d9-f580eeaae1d5,5d71bb9d-ce8b-499d-91bf-3df92426430d,Fully Paid,129712.0,Short Term,723.0,1465698.0,10+ years,Own Home,Debt Consolidation,18199.15,19.4,6.0,34.0,1.0,45106.0,163218.0,0.0,0.0
47,f6f70cfd-5100-4e63-b3c5-fa602ed29e95,24f6b0cb-17bd-4931-8cc9-b957f20efea5,Fully Paid,287980.0,Short Term,737.0,1013954.0,< 1 year,Home Mortgage,Debt Consolidation,16138.6,18.6,13.0,11.0,0.0,223117.0,489302.0,0.0,0.0
48,17d0f2ec-c03f-4885-91a8-aa90830372b5,6cfb0765-7cd8-4ef5-aa6e-f935caf57cf0,Fully Paid,439428.0,Short Term,710.0,1518024.0,8 years,Rent,Debt Consolidation,20923.56,17.8,,11.0,0.0,209304.0,265716.0,0.0,0.0
49,1ee5e9de-290c-45f0-8ef2-445c98afc6f6,1ee733fd-fda7-4666-bbcb-059103773627,Charged Off,456808.0,Long Term,598.0,1096167.0,10+ years,Own Home,Debt Consolidation,14341.39,14.1,,8.0,0.0,161861.0,278058.0,0.0,0.0
50,56171b60-824e-46cf-8e39-3304427e84f4,86d02184-ce07-4f47-9f68-45743fa29ced,Fully Paid,518012.0,Long Term,719.0,1193010.0,10+ years,Own Home,Debt Consolidation,22667.38,20.9,,11.0,0.0,452770.0,1080926.0,0.0,0.0
51,0daecc08-0354-4753-b282-52124b2420df,2884d362-391a-4941-af69-c825cae18002,Charged Off,219692.0,Long Term,6610.0,527839.0,10+ years,Rent,Debt Consolidation,14207.63,17.0,48.0,9.0,0.0,254277.0,379918.0,0.0,0.0
52,b41e7075-f499-4311-8dfb-cbf23b045150,06d6c4a1-7a06-41c5-aeb1-fe0d7e5c895e,Charged Off,214874.0,Short Term,,,2 years,Rent,Debt Consolidation,20322.78,15.6,69.0,8.0,0.0,285589.0,402776.0,0.0,0.0
53,4ead58f0-0383-441a-b93d-a00c6baa74aa,41988ec9-7368-42a3-bc2f-9882fb3779f6,Charged Off,374176.0,Long Term,652.0,1239199.0,10+ years,Home Mortgage,other,5163.25,36.6,42.0,10.0,0.0,126350.0,415602.0,0.0,0.0
54,72322924-6242-4503-871f-501870761c91,82b6502d-b24e-43d7-baf5-5624e566bfe3,Fully Paid,99999999.0,Long Term,730.0,2509520.0,10+ years,Home Mortgage,Debt Consolidation,34714.9,40.8,35.0,12.0,0.0,733324.0,1035496.0,0.0,0.0
55,a4b4920d-48a4-424f-8386-1959f2f9ae86,48e551b4-6a6f-4450-bf3c-f0ee9bcb266e,Charged Off,176198.0,Short Term,736.0,1902090.0,10+ years,Home Mortgage,Debt Consolidation,28372.89,15.4,7.0,9.0,0.0,206872.0,620554.0,0.0,0.0
56,a5ada080-a058-4ad2-8953-002b7ec1ae31,9966e08c-04a6-41ab-86d0-e4062c64bd41,Charged Off,78012.0,Short Term,7380.0,728726.0,4 years,Rent,major_purchase,10135.36,11.4,,8.0,0.0,104633.0,199936.0,0.0,0.0
57,f8dcf551-d7b6-4378-8a29-caa1b0a42e75,b6f9e737-6609-45fd-8d6c-37b1b64c45df,Fully Paid,669372.0,Short Term,725.0,2158210.0,7 years,Home Mortgage,Debt Consolidation,34711.29,9.2,,17.0,0.0,496052.0,638176.0,0.0,0.0
58,4bcf4e06-60c7-4849-8c70-ada382fef5bb,0b25e0aa-3fe1-4540-8e6d-f6e579dfc84a,Fully Paid,130922.0,Short Term,747.0,2261304.0,2 years,Rent,Debt Consolidation,9761.25,16.1,30.0,6.0,0.0,110428.0,235488.0,0.0,0.0
59,7e2870c0-998d-4d35-ab8f-df77d30a0b8a,cdb9037a-a7e4-49e5-ace2-61cb3df0e1e0,Fully Paid,174548.0,Short Term,721.0,1620681.0,6 years,Rent,Take a Trip,30522.74,15.0,27.0,7.0,0.0,40489.0,128832.0,0.0,0.0
60,965909d3-09a6-410f-a30f-f25123010b3e,e947abb6-87fa-4e75-b381-d487bc4dd0bf,Charged Off,290224.0,Long Term,644.0,837045.0,7 years,Home Mortgage,Debt Consolidation,8230.99,18.3,10.0,11.0,0.0,176624.0,370480.0,0.0,0.0
61,de86c495-4052-43e9-b773-0b6597c41347,2b8d9ed7-d6d4-491e-82f9-f5bee3bd9408,Fully Paid,718784.0,Long Term,672.0,1648915.0,10+ years,Home Mortgage,Debt Consolidation,15664.74,12.0,5.0,10.0,0.0,252016.0,489610.0,0.0,0.0
62,6aca03a8-c5b2-4010-a236-50cb785cc64c,1902ebd8-4ffa-4182-90dd-89a9eb14a9a0,Fully Paid,152548.0,Short Term,,,7 years,Home Mortgage,Debt Consolidation,19164.54,12.1,26.0,22.0,0.0,120916.0,946000.0,0.0,0.0
63,a80790da-0712-4c82-ab49-753c7878c5a0,c5e8d25e-4417-4e67-ac03-9d5cf3f903ca,Fully Paid,602008.0,Long Term,741.0,2896721.0,2 years,Own Home,Debt Consolidation,48278.62,19.6,32.0,17.0,0.0,5246261.0,11887678.0,0.0,0.0
64,277db7a2-1644-460b-aa8b-36951e5514f2,8e49b9f9-b15f-4d76-a1f8-2bc90dfdb07f,Fully Paid,171248.0,Short Term,747.0,3035725.0,10+ years,Home Mortgage,Debt Consolidation,42500.15,31.5,17.0,11.0,0.0,25460.0,151140.0,0.0,0.0
65,1704367e-1d71-4551-8d33-49aa15cab4b1,88f97adf-070a-47b1-9657-38276eef7d19,Charged Off,523908.0,Long Term,7370.0,1028774.0,6 years,Home Mortgage,Debt Consolidation,22632.99,19.3,,5.0,0.0,474658.0,742720.0,0.0,0.0
66,426da1a8-2d65-4033-a00b-9dc40729ebda,0c0f26c2-c4c9-4f63-ae6c-1895438c6966,Fully Paid,323466.0,Long Term,699.0,2048618.0,6 years,Home Mortgage,Debt Consolidation,27997.64,14.0,72.0,19.0,1.0,389994.0,743952.0,1.0,0.0
67,8196d772-1651-4a42-85a1-f92b51c415bb,fef3362a-2732-4520-ab83-4ce52074aa4e,Charged Off,751520.0,Long Term,,,6 years,Home Mortgage,Debt Consolidation,27204.01,20.5,48.0,19.0,0.0,483968.0,594880.0,0.0,0.0
68,71e2f337-7a44-43cd-9a26-36e74c0cc040,6ae17645-6b2a-4088-bb0c-1ca8424fedd7,Fully Paid,289388.0,Short Term,,,7 years,Home Mortgage,Debt Consolidation,9758.4,16.0,,12.0,0.0,439033.0,1735030.0,0.0,0.0
69,3e58847f-ecdf-4945-b7b7-d4141c35ab52,570f58b9-c502-4c7d-b1a8-9df512e9daf5,Fully Paid,144562.0,Short Term,751.0,1060922.0,9 years,Home Mortgage,Debt Consolidation,19750.88,21.8,,7.0,0.0,314773.0,1035408.0,0.0,0.0
70,5463544a-4d55-402e-bdde-48a27644dfb2,c2fe5a7f-9826-48ad-ae02-b2c31cae3463,Fully Paid,211222.0,Short Term,694.0,947625.0,4 years,Rent,Debt Consolidation,8923.35,18.0,65.0,9.0,1.0,93081.0,397694.0,1.0,0.0
71,67d1e3af-f5f1-41a0-8051-ebe452c3502b,e978f6d8-912e-418e-8649-1b970583f4c8,Fully Paid,162360.0,Short Term,720.0,486875.0,10+ years,Rent,Debt Consolidation,8560.83,15.1,46.0,16.0,0.0,129504.0,434654.0,0.0,0.0
72,ce3eb521-f562-4183-b307-276cd39f65f7,decb6753-c45f-4f8a-ae0d-e8b26d246998,Fully Paid,99999999.0,Short Term,699.0,2770162.0,5 years,Home Mortgage,Debt Consolidation,48708.4,25.6,25.0,13.0,0.0,348802.0,449262.0,0.0,0.0
73,fd50c3d1-8d6d-410e-ba58-d3f1bcae6409,a17de546-6b7f-4abf-9af4-99047eeda08a,Fully Paid,311058.0,Long Term,675.0,1343167.0,,Home Mortgage,Debt Consolidation,21378.8,31.4,17.0,11.0,0.0,247912.0,541596.0,0.0,0.0
74,3924da4c-a6f7-4852-8fa4-c0ed8a6e903d,8980b1b1-7f07-49c7-a4f7-4268a61210f5,Fully Paid,767536.0,Long Term,724.0,6628720.0,10+ years,Home Mortgage,Debt Consolidation,53747.96,29.5,,13.0,0.0,1426425.0,2510112.0,0.0,0.0
75,f41d9a21-d501-46d2-93c7-3c5b3b6bd3b5,6e8df64b-1404-4c95-8c79-954a601ba585,Charged Off,133034.0,Short Term,,,5 years,Own Home,other,30520.46,13.8,,23.0,0.0,113278.0,1561406.0,0.0,0.0
76,38c7f29b-fc9d-4674-be19-e0a4f1a9afc6,55012e48-1a72-4609-b289-cd25b03f1aea,Fully Paid,389884.0,Short Term,657.0,4776125.0,1 year,Home Mortgage,Debt Consolidation,42985.22,21.5,4.0,14.0,1.0,237500.0,562386.0,1.0,0.0
77,11653c24-aa0a-4435-9ec7-4720d2bf4da8,d377d2ea-5cf8-4ee2-b7ba-f5be4dbb1b11,Fully Paid,163966.0,Short Term,678.0,719910.0,9 years,Home Mortgage,Home Improvements,12778.26,6.4,,9.0,1.0,66025.0,138248.0,0.0,1.0
78,333ea452-cc2d-41a5-9970-a011ea10d148,47e5d0b1-228e-4fae-a0a5-22f4b9f8ad7d,Fully Paid,433312.0,Short Term,736.0,1010401.0,7 years,Home Mortgage,Debt Consolidation,22228.86,16.1,11.0,19.0,0.0,201780.0,613228.0,0.0,0.0
79,9d2b2b18-c11e-4c01-9608-542d87f200d3,42374c5d-1275-4b47-b0d6-e1c33d02b811,Fully Paid,99999999.0,Short Term,737.0,2015159.0,6 years,Home Mortgage,Debt Consolidation,21494.89,10.5,54.0,16.0,0.0,321214.0,478060.0,0.0,0.0
80,0e4489e9-f9c0-4a8b-9e1b-818fcdfa5956,2bafd352-5fbb-4435-8316-fa2e7bc6950f,Fully Paid,99999999.0,Short Term,748.0,1875680.0,5 years,Rent,other,9393.98,13.0,,14.0,0.0,232674.0,1353858.0,0.0,0.0
81,b97f1dad-69b8-4971-ae26-0a4e774239a8,3c75455c-6827-49fc-b91d-3001a1a5c9ba,Fully Paid,89320.0,Short Term,748.0,1832075.0,< 1 year,Home Mortgage,Other,13312.92,19.0,,6.0,0.0,127946.0,216260.0,0.0,0.0
82,5bc5f041-9d56-4ed0-af6a-37d12daa5c49,ac460fac-928b-4149-b919-69ea4eb9750f,Fully Paid,392282.0,Long Term,688.0,974662.0,8 years,Home Mortgage,Debt Consolidation,10396.42,12.0,10.0,11.0,0.0,35663.0,242946.0,0.0,0.0
83,747a1799-0cee-4e91-9b8c-1fcfe1d23906,d80034d4-37b2-4380-9546-3bc3c9025077,Fully Paid,444620.0,Short Term,,,2 years,Home Mortgage,Home Improvements,15292.34,11.8,,9.0,0.0,373350.0,522742.0,0.0,0.0
84,37b7adb4-8f90-4ddf-813c-813e34dda68a,034ce7a6-999c-4ffa-a1d2-610f88a29606,Fully Paid,262988.0,Short Term,743.0,1340279.0,,Rent,Debt Consolidation,9348.38,28.2,35.0,9.0,0.0,499548.0,681296.0,0.0,0.0
85,1e59ad24-1924-46bb-ab5f-d507d795fa5d,0f9f9ea4-6122-4fc6-99fd-6c6c38a32138,Fully Paid,498586.0,Long Term,666.0,1351679.0,3 years,Rent,Other,32214.88,12.2,,15.0,0.0,205637.0,433686.0,0.0,0.0
86,8873a073-d23d-49a9-9b44-381e04fb118b,f55d6d2b-646b-4d5d-996e-85f78f6fe3f2,Fully Paid,378334.0,Short Term,714.0,2120514.0,2 years,Rent,Debt Consolidation,35695.3,17.0,24.0,12.0,0.0,75335.0,413402.0,0.0,0.0
87,cf95346d-6bc9-4b10-8383-b42342da886c,e5e051b3-545f-45c7-a975-360b732f7c97,Fully Paid,99999999.0,Short Term,734.0,1355802.0,3 years,Rent,Debt Consolidation,15365.68,44.5,31.0,8.0,0.0,25441.0,1841796.0,0.0,0.0
88,df9ae7ca-d33b-4abc-b2ec-c6455f7a5cc6,377a2055-0d25-4dd0-a7c9-28cb61f68259,Charged Off,194942.0,Short Term,742.0,1212238.0,1 year,Rent,Debt Consolidation,25254.99,27.4,19.0,13.0,1.0,176396.0,339834.0,1.0,0.0
89,25dc64d4-1fbb-4f93-9f2b-6d60fb75eea3,46dce277-4cdd-4b47-83f8-97078cb41bc0,Fully Paid,731566.0,Short Term,705.0,1377443.0,10+ years,Home Mortgage,Debt Consolidation,13429.96,20.4,65.0,18.0,0.0,563008.0,1070432.0,0.0,0.0
90,374bba0a-c0fe-46bf-a93f-b7aa70333d92,64f770d8-dec2-42e7-8955-6149ce7efd5f,Fully Paid,479358.0,Short Term,,,10+ years,Rent,Debt Consolidation,22659.59,22.4,41.0,13.0,0.0,807462.0,1391302.0,0.0,0.0
91,bbde2bed-dc43-409a-a4e9-06e3cfd3e2cd,4da78dcb-83c2-4338-9a5b-72bd01053f5c,Fully Paid,336908.0,Short Term,,,10+ years,Rent,Debt Consolidation,6652.47,29.1,,8.0,0.0,277419.0,1119250.0,0.0,0.0
92,97a3b948-4883-442e-a362-1a0751bf6d9e,4cc38eb2-c463-493a-82e9-1571bacc69a9,Fully Paid,270116.0,Short Term,,,2 years,Home Mortgage,Debt Consolidation,15649.92,31.3,,22.0,0.0,648850.0,3996322.0,0.0,0.0
93,9270a0f9-c873-4cff-b8d6-63b5377a0340,f4a63c54-c7b6-4132-a5c1-160b09c0a1cf,Fully Paid,156772.0,Short Term,748.0,1411966.0,6 years,Home Mortgage,Home Improvements,22591.38,18.0,73.0,10.0,0.0,38456.0,251548.0,0.0,0.0
94,268d33e0-76cc-42b4-9e18-8c3e9f9a34c6,40deeacb-f472-4241-9861-56ce8bfe3151,Fully Paid,306548.0,Short Term,,,6 years,Rent,Debt Consolidation,11157.37,17.5,,10.0,0.0,200127.0,387508.0,0.0,0.0
95,ed6b4f20-6897-44b9-b36c-834f5f371853,bc653e0d-ccac-4114-b998-f53c9f2dffc8,Fully Paid,432080.0,Short Term,,,10+ years,Rent,Debt Consolidation,35360.14,17.9,24.0,22.0,0.0,160550.0,685982.0,0.0,0.0
96,4cfa482a-57c2-4856-ab26-a8af32adaa3f,403bdb3c-e326-4172-9f81-4e6b992cc349,Fully Paid,158818.0,Short Term,731.0,315666.0,,Own Home,Debt Consolidation,8522.83,31.3,60.0,13.0,2.0,260072.0,756646.0,0.0,2.0
97,87260afa-a95d-4507-9db0-c8eeb5db5aef,168cc347-945f-43d4-827b-1c06c7a80722,Charged Off,78738.0,Short Term,6240.0,536370.0,2 years,Rent,other,14034.92,10.5,15.0,14.0,0.0,138586.0,266112.0,0.0,0.0
98,10da47ac-d3ce-461c-bf95-1b9d0cac176f,d110ff2c-c936-487a-8e4f-8a192bad9cd8,Fully Paid,453464.0,Short Term,712.0,895147.0,3 years,Rent,Debt Consolidation,17007.85,14.2,77.0,12.0,1.0,137845.0,222926.0,1.0,0.0
